com,n_com,dgr_int,PY,TI,AU,UT,seed_com
10,30,0.5618360660915227,2021,IMPACT OF PROTEIN-ENRICHED PLANT FOOD ITEMS ON THE BIOACCESSIBILITY AND CELLULAR UPTAKE OF CAROTENOIDS,IDDIR M;PORRAS YARURO JF;COCCO E;HARDY EM;APPENZELLER BMR;GUIGNARD C;LARONDELLE Y;BOHN T,2-S2.0-85108378940,FALSE
11,28,0.5286868396628048,2018,REGIONAL EVAPOTRANSPIRATION FROM AN IMAGE-BASED IMPLEMENTATION OF THE SURFACE TEMPERATURE INITIATED CLOSURE (STIC1.2) MODEL AND ITS VALIDATION ACROSS AN ARIDITY GRADIENT IN THE CONTERMINOUS US,BHATTARAI N;MALLICK K;BRUNSELL NA;SUN G;JAIN M,2-S2.0-85045666075,FALSE
11,28,0.47399207575719293,2019,AN AUTOMATED MULTI-MODEL EVAPOTRANSPIRATION MAPPING FRAMEWORK USING REMOTELY SENSED AND REANALYSIS DATA,BHATTARAI N;MALLICK K;STUART J;VISHWAKARMA BD;NIRAULA R;SEN S;JAIN M,2-S2.0-85065223741,FALSE
11,28,0.38095101040753315,2019,CHALLENGES AND FUTURE PERSPECTIVES OF MULTI-/HYPERSPECTRAL THERMAL INFRARED REMOTE SENSING FOR CROP WATER-STRESS DETECTION: A REVIEW,GERHARDS M;SCHLERF M;MALLICK K;UDELHOVEN T,2-S2.0-85066756100,FALSE
11,28,0.33807550553371063,2018,THE INDIAN-FRENCH TRISHNA MISSION: EARTH OBSERVATION IN THE THERMAL INFRARED WITH HIGH SPATIO-TEMPORAL RESOLUTION,LAGOUARDE J-P;BHATTACHARYA BK;CRÉBASSOL P;GAMET P;BABU SS;BOULET G;BRIOTTET X;BUDDHIRAJU KM;CHERCHALI S;DADOU I;DEDIEU G;GOUHIER M;HAGOLLE O;IRVINE M;JACOB F;KUMAR A;KUMAR KK;LAIGNEL B;MALLICK K;MURTHY CS;OLIOSO A;OTTLÉ C;PANDYA MR;RAJU PV;ROUJEAN J-L;SEKHAR M;SHUKLA MV;SINGH SK;SOBRINO J;RAMAKRISHNAN R,2-S2.0-85063000787,FALSE
11,28,0.33112550328133017,2019,USING PHASE LAGS TO EVALUATE MODEL BIASES IN SIMULATING THE DIURNAL CYCLE OF EVAPOTRANSPIRATION: A CASE STUDY IN LUXEMBOURG,RENNER M;BRENNER C;MALLICK K;WIZEMANN H-D;CONTE L;TREBS I;WEI J;WULFMEYER V;SCHULZ K;KLEIDON A,2-S2.0-85060720829,FALSE
12,16,0.21507087683558274,2018,A VIRTUAL COLLABORATIVE PLATFORM TO SUPPORT BUILDING INFORMATION MODELING IMPLEMENTATION FOR ENERGY EFFICIENCY,PETRI I;ALHAMAMI A;REZGUI Y;KUBICKI S,2-S2.0-85053813991,FALSE
12,16,0.20937875150060026,2020,PROMOTING ENERGY EFFICIENCY IN THE BUILT ENVIRONMENT THROUGH ADAPTED BIM TRAINING AND EDUCATION,ALHAMAMI A;PETRI I;REZGUI Y;KUBICKI S,2-S2.0-85084302629,FALSE
12,16,0.14457182805640156,2017,DATA-DRIVEN DEVELOPMENT IN THE SMART CITY: GENERATIVE DESIGN FOR REFUGEE CAMPS IN LUXEMBOURG,DAHER E;KUBICKI S;GUERRIERO A,2-S2.0-85016132219,FALSE
12,16,0.12875631313131314,2017,TECHNOLOGIES IN THE PLANNING OF REFUGEES' CAMPS: A PARAMETRIC PARTICIPATIVE FRAMEWORK FOR SPATIAL CAMP PLANNING,DAHER E;KUBICKI S,2-S2.0-85034655654,FALSE
12,16,0.11184921227627605,2020,TOWARDS A SEMANTIC CONSTRUCTION DIGITAL TWIN: DIRECTIONS FOR FUTURE RESEARCH,BOJE C;GUERRIERO A;KUBICKI S;REZGUI Y,2-S2.0-85082386834,FALSE
13,13,0.48478991111708114,2017,AN EVALUATION OF THE POTENTIAL OF SENTINEL 1 FOR IMPROVING FLASH FLOOD PREDICTIONS VIA SOIL MOISTURE-DATA ASSIMILATION,CENCI L;PULVIRENTI L;BONI G;CHINI M;MATGEN P;GABELLANI S;SQUICCIARINO G;PIERDICCA N,2-S2.0-85032661692,FALSE
13,13,0.41655176640009806,2017,EXPLOITING SENTINEL 1 DATA FOR IMPROVING (FLASH) FLOOD MODELLING VIA DATA ASSIMILATION TECHNIQUES,CENCI L;PULVIRENTI L;BONI G;CHINI M;MATGEN P;GABELLANI S;SQUICCIARINO G;BASSO V;PIGNONE F;PIERDICCA N,2-S2.0-85032710448,FALSE
13,13,0.2896853680887893,2016,SATELLITE SOIL MOISTURE ASSIMILATION: PRELIMINARY ASSESSMENT OF THE SENTINEL 1 POTENTIALITIES,CENCI L;PULVIRENTI L;BONI G;CHINI M;MATGEN P;GABELLANI S;CAMPO L;SILVESTRO F;VERSACE C;CAMPANELLA P;CANDELA L,2-S2.0-85007452340,FALSE
13,13,0.24208869570963368,2016,COMBINED ANALYSIS OF TRACE ELEMENTS AND ISOTOPIC COMPOSITION OF PARTICULATE ORGANIC MATTER IN SUSPENDED SEDIMENT TO ASSESS THEIR ORIGIN AND FLUX IN A TROPICAL DISTURBED WATERSHED,FERNANDES AM;HISSLER C;DA CONCEIÇÃO FT;SPATTI JUNIOR EP;MORTATTI J,2-S2.0-84991801224,FALSE
13,13,0.21541746611375875,2020,"MULTI-TRACER ANALYSIS TO ESTIMATE THE HISTORICAL EVOLUTION OF POLLUTION IN RIVERBED SEDIMENT OF SUBTROPICAL WATERSHED, THE LOWER COURSE OF THE PIRACICABA RIVER, SÃO PAULO, BRAZIL",DA CONCEIÇÃO FT;FERNANDES AM;HISSLER C;LUPINACCI CM;MENEGÁRIO AA;MORUZZI RB,2-S2.0-85087987195,FALSE
14,13,0.22110117393036482,2019,A CENTURY OF LOCAL CHANGES IN BUMBLEBEE COMMUNITIES AND LANDSCAPE COMPOSITION IN BELGIUM,VRAY S;ROLLIN O;RASMONT P;DUFRÊNE M;MICHEZ D;DENDONCKER N,2-S2.0-85062801034,FALSE
14,13,0.20228537347401926,2020,DRASTIC SHIFTS IN THE BELGIAN BUMBLEBEE COMMUNITY OVER THE LAST CENTURY,ROLLIN O;VRAY S;DENDONCKER N;MICHEZ D;DUFRÊNE M;RASMONT P,2-S2.0-85084314013,FALSE
14,13,0.14789775600734031,2017,EVALUATING THE RELIABILITY OF SPECIES DISTRIBUTION MODELS WITH AN INDIRECT MEASURE OF BIRD REPRODUCTIVE PERFORMANCE,AIZPURUA O;CANTÚ-SALAZAR L;MARTIN GS;SARDÀ-PALOMERA F;GARGALLO G;HERRANDO S;BROTONS L;TITEUX N,2-S2.0-85019019301,FALSE
